TxX,TxY,TxV,RxX,RxY,RxV
-125.2785805,-8.177881463,10.79639652,0.334184119,-23.42131892,9.559140147
-126.8872159,-8.050274291,10.80385144,1.7558305,-23.53713211,9.537378995
-128.4965262,-7.922414543,10.80594922,3.174028985,-23.65331904,9.514427853
-130.1057203,-7.794463774,10.80254382,4.588636799,-23.76977545,9.49053817
-131.7139974,-7.666575573,10.79367686,5.999555588,-23.88636999,9.465975737
-133.3205754,-7.538888798,10.77958493,7.406733315,-24.00295256,9.441036019
-134.9247205,-7.411529562,10.76070405,8.810165439,-24.1193688,9.416035119
-136.5257749,-7.28461544,10.73762592,10.20989127,-24.23547379,9.391257093
-138.1231773,-7.158255916,10.71105503,11.60598762,-24.35114026,9.36695558
-139.7164785,-7.03255581,10.68178554,12.99856429,-24.46626972,9.343382447
-141.3053502,-6.907615502,10.65063774,14.38776055,-24.58080679,9.320779391
-142.8895788,-6.783522308,10.61833569,15.77374041,-24.69475319,9.299369526
-144.4690435,-6.660342121,10.58543703,17.15668682,-24.80817976,9.279347104
-146.0436937,-6.538111293,10.55238138,18.53679428,-24.92123651,9.26085923
-147.6135309,-6.416833877,10.51949309,19.91426008,-25.03416539,9.244015325
-149.1785946,-6.296487455,10.48701503,21.28927587,-25.14731256,9.228885619
-150.7389561,-6.177024361,10.45518066,22.66201783,-25.26113578,9.215477504
-152.2947164,-6.058373974,10.42420188,24.03263539,-25.37620653,9.203738486
-153.8460046,-5.940449695,10.39427628,25.40123963,-25.49320832,9.193550338
-155.3929772,-5.823155658,10.36558954,26.76789131,-25.61293235,9.184739503
-156.9358207,-5.706393959,10.33835526,28.13259286,-25.73626699,9.177118972
-158.4747568,-5.590069021,10.31282417,29.49528573,-25.86417983,9.170512033
-160.0100466,-5.474091727,10.28925174,30.85584907,-25.99770153,9.164757693
-161.5419925,-5.358384857,10.26790429,32.21409713,-26.13791223,9.159705041
-163.0709376,-5.242889244,10.24901368,33.56977558,-26.2859264,9.155203714
-164.5972575,-5.127570164,10.23272892,34.92255693,-26.44287653,9.15109737
-166.1213495,-5.012419116,10.21912587,36.27203774,-26.60988604,9.147210176
-167.6436222,-4.897449707,10.20822655,37.61773731,-26.78803603,9.143325644
-169.1644865,-4.782690635,10.2000056,38.95909831,-26.97834551,9.139245113
-170.6843482,-4.668178067,10.19440506,40.2954974,-27.18176321,9.134878421
-172.2036037,-4.553946862,10.19135618,41.62626579,-27.39915933,9.13025926
-173.7226381,-4.440020038,10.19080469,42.95070835,-27.63130808,9.125435906
-175.2418243,-4.326396217,10.19269517,44.26811341,-27.87886001,9.120357923
-176.7615117,-4.213038022,10.19685106,45.57775877,-28.1423283,9.114950631
-178.2819941,-4.09986743,10.20279797,46.87892712,-28.42209198,9.109227602
-179.8034769,-3.986763479,10.20993748,48.17093643,-28.71839716,9.10333973
-181.3260862,-3.873563927,10.21790217,49.45317442,-29.03135834,9.0975568
-182.849901,-3.760079319,10.22650821,50.72512582,-29.36096226,9.092192216
-184.3749588,-3.646114996,10.23540116,51.98638963,-29.7070674,9.087510146
-185.9012229,-3.531494262,10.24392294,53.23668327,-30.0693967,9.083592616
-187.4285554,-3.416078692,10.25131391,54.47583386,-30.44752913,9.080290017
-188.9567111,-3.299783692,10.25679712,55.703758,-30.84090145,9.077216915
-190.4853313,-3.182586016,10.25951208,56.92042935,-31.24882257,9.073752925
-192.0139286,-3.064522861,10.2584797,58.12584272,-31.67049319,9.069106761
-193.5418737,-2.945691199,10.25265654,59.31998153,-32.1050265,9.062370953
-195.0683915,-2.826245525,10.24102223,60.50279115,-32.55146491,9.052559058
-196.5925638,-2.706389591,10.22258147,61.67415977,-33.00878745,9.038608788
-198.1133292,-2.586368894,10.19632655,62.83390671,-33.47591066,9.019423701
-199.6294834,-2.466463608,10.16128838,63.98178228,-33.95168811,8.993960853
-201.139693,-2.346976568,10.11666943,65.117473,-34.43490685,8.961173236
-202.642523,-2.22821897,10.06189889,66.24059827,-34.92428555,8.919988645
-204.1364728,-2.110500938,9.99668025,67.35069943,-35.41848674,8.86940286
-205.620021,-1.994121685,9.921065769,68.44723092,-35.91613974,8.808551665
-207.091674,-1.879352145,9.835436809,69.52956599,-36.41585913,8.736767804
-208.5500096,-1.766420654,9.740464098,70.59702335,-36.91625414,8.653654411
-209.9937199,-1.655505114,9.637106304,71.64891001,-37.4159365,8.559160236
-211.421655,-1.546724806,9.526636367,72.68457199,-37.9135362,8.453669735
-212.8328744,-1.440134181,9.410705076,73.70345121,-38.40772975,8.338119585
-214.2267059,-1.335722248,9.29136091,74.70514901,-38.89727814,8.214068874
-215.6028043,-1.233414237,9.171026279,75.68949479,-39.38107059,8.083752186
